bmad-workflows-check-setup	inject	682		missing=2	1782383161009263900	1782383161253591500	0
enforce-bmad-output-consistency	skip	0			1782383162909057400	1782383163077235800	0
enforce-bmad-config-priority	inject	1		overrides=1 consumer_bmad=yes	1782383162884804800	1782383163108757700	0
enforce-bmad-config-priority	inject	1		overrides=1 consumer_bmad=yes	1782383180858896900	1782383181066477300	0
enforce-bmad-output-consistency	skip	0			1782383180882703300	1782383181083335500	0
enforce-bmad-agent-scope	skip	0		no_active_agent	1782383390677950500	1782383391037567300	0
enforce-bmad-agent-scope	skip	0		no_active_agent	1782383397596444600	1782383397947154900	0
enforce-bmad-agent-scope	skip	0		no_active_agent	1782383429370873000	1782383429709517100	0
enforce-bmad-agent-scope	skip	0		no_active_agent	1782383466755795800	1782383467106175000	0
enforce-bmad-agent-scope	skip	0		no_active_agent	1782383494593688400	1782383494984054100	0
